Order ID,Customer Name,Product Name,Category,Order Date,Ship Date,Region,Country,Sales Channel,Quantity,Price per Unit,Total Sales,Profit Margin (%),Order Status,Customer Rating
AMZ10000,Customer 3129,Product 967,Electronics,2020-10-25,2020-11-04,Asia,Australia,Offline,14,50.98,713.72,30.18,Cancelled,4.8
AMZ10001,Customer 3301,Product 909,Home,2022-12-07,2022-12-13,North America,Brazil,Online,19,93.51,1776.69,29.06,Cancelled,1.5
AMZ10002,Customer 4418,Product 268,Electronics,2022-11-19,2022-11-24,Australia,Germany,Offline,7,206.67,1446.69,8.73,Pending,3.9
AMZ10003,Customer 1600,Product 957,Toys,2021-06-01,2021-06-09,North America,Brazil,Offline,14,446.09,6245.26,21.04,Pending,1.3
AMZ10004,Customer 1464,Product 139,Electronics,2020-09-07,2020-09-17,Europe,India,Online,5,463.75,2318.75,36.68,Delivered,4.5
AMZ10005,Customer 4083,Product 282,Sports,2023-02-19,2023-03-01,North America,Germany,Offline,11,140.52,1545.72,11.63,Returned,4.6
AMZ10006,Customer 1668,Product 659,Beauty,2024-03-27,2024-03-31,Australia,Canada,Online,11,81.5,896.5,24.17,Pending,1.8
AMZ10007,Customer 576,Product 875,Beauty,2022-07-31,2022-08-01,Asia,Brazil,Offline,8,366.22,2929.76,6.0,Cancelled,2.4
AMZ10008,Customer 4012,Product 345,Beauty,2020-02-20,2020-02-23,North America,India,Online,5,188.58,942.9,36.94,Delivered,2.3
AMZ10009,Customer 2069,Product 188,Sports,2024-09-06,2024-09-11,South America,United States,Online,18,249.64,4493.52,44.89,Delivered,1.7
AMZ10010,Customer 418,Product 413,Toys,2020-09-20,2020-09-30,Africa,United States,Offline,3,325.57,976.71,16.37,Pending,1.9
AMZ10011,Customer 2275,Product 938,Beauty,2020-04-12,2020-04-16,Australia,Australia,Online,10,458.17,4581.7,39.17,Returned,3.7
AMZ10012,Customer 3938,Product 505,Sports,2020-11-02,2020-11-11,Australia,Canada,Offline,8,146.3,1170.4,21.65,Delivered,3.0
AMZ10013,Customer 3953,Product 945,Home,2020-10-08,2020-10-13,South America,Australia,Offline,16,309.18,4946.88,22.88,Pending,1.9
AMZ10014,Customer 3473,Product 592,Toys,2022-10-14,2022-10-17,Asia,United States,Offline,10,84.53,845.3,47.93,Cancelled,2.0
AMZ10015,Customer 3037,Product 396,Beauty,2021-10-21,2021-10-28,Africa,United Kingdom,Offline,2,320.34,640.68,21.7,Returned,2.4
AMZ10016,Customer 1563,Product 637,Sports,2023-01-23,2023-01-26,South America,United Kingdom,Online,20,19.28,385.6,29.02,Delivered,4.4
AMZ10017,Customer 2435,Product 839,Clothing,2021-01-28,2021-01-30,South America,United States,Online,9,156.64,1409.76,9.1,Returned,3.6
AMZ10018,Customer 1997,Product 926,Toys,2021-08-16,2021-08-26,South America,United States,Online,1,174.31,174.31,39.67,Returned,2.8
AMZ10019,Customer 3517,Product 783,Beauty,2023-01-21,2023-01-30,North America,United Kingdom,Online,20,134.11,2682.2,32.29,Returned,4.2
AMZ10020,Customer 4488,Product 602,Books,2024-04-06,2024-04-08,Africa,Germany,Offline,16,302.38,4838.08,46.31,Returned,3.9
AMZ10021,Customer 3402,Product 48,Beauty,2022-10-25,2022-10-30,Europe,India,Offline,14,40.4,565.6,16.47,Cancelled,2.5
AMZ10022,Customer 4574,Product 259,Books,2023-07-20,2023-07-29,North America,United States,Offline,14,398.6,5580.4,14.38,Returned,1.6
AMZ10023,Customer 4882,Product 924,Clothing,2020-06-01,2020-06-04,North America,United States,Offline,8,191.7,1533.6,45.9,Cancelled,3.5
AMZ10024,Customer 4792,Product 548,Beauty,2024-02-18,2024-02-27,South America,India,Online,17,284.7,4839.9,46.79,Delivered,2.6
AMZ10025,Customer 1892,Product 579,Beauty,2024-09-17,2024-09-24,Australia,United States,Offline,5,181.02,905.1,12.82,Pending,4.9
AMZ10026,Customer 170,Product 690,Sports,2020-08-19,2020-08-29,North America,Brazil,Online,5,484.5,2422.5,35.48,Pending,4.5
AMZ10027,Customer 572,Product 721,Sports,2023-05-20,2023-05-29,Australia,United States,Offline,4,443.5,1774.0,31.38,Returned,3.7
AMZ10028,Customer 698,Product 774,Books,2021-03-03,2021-03-07,North America,Canada,Online,19,124.45,2364.55,10.95,Returned,3.4
AMZ10029,Customer 3406,Product 649,Home,2020-09-28,2020-10-07,Africa,Australia,Online,2,195.21,390.42,30.8,Pending,2.8
AMZ10030,Customer 1086,Product 909,Beauty,2020-07-25,2020-07-30,Asia,Australia,Offline,1,485.46,485.46,30.89,Cancelled,3.1
AMZ10031,Customer 4403,Product 549,Books,2023-11-25,2023-12-05,Asia,India,Online,8,58.42,467.36,36.78,Delivered,4.6
AMZ10032,Customer 1934,Product 928,Toys,2022-04-18,2022-04-22,Australia,Australia,Offline,14,271.28,3797.92,21.13,Delivered,4.9
